Цена,Ссылка,Место,Кол-во комнат,Площадь,Год строительства
110 000 €,https://profitrealestate.ru/catalog_single/Prostornye_apartamenty_planirovki_31_v_centre_Alani_v_dome_s_avtonomnoi_sistemoi_gazosnabzheniia,"Алания, Алания центр",3+1,155 м2,2006
56 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_zhivopisnom_raione_Mahmutlara_Alania_120_m2_1,"Алания, Махмутлар",2+1,120 м2,2010
77 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_trehkomnatnaia_kvartira_v_50_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",2+1,120 м2,2009
58 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_dvuhkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_200_metrah_ot_prekrasnyh_pliazhei_Oba_Alania,"Алания, Оба",1+1,55 м2,2017
48 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_kvartira_gotovaia_k_zaseleniiu_v_zhilom_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_70m2,"Алания, Махмутлар",1+1,70 м2,2012
56 000 €,https://profitrealestate.ru/catalog_single/Investicionnaia_nedvizhimost_na_etape_stroitelstva_Oba_Alania_4286_m2,"Алания, Оба","1+1, 2+1",42-86 м2,2021
85 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_stroiashemsia_dome_vsego_v_650_metrah_ot_pliazha_Kleopatra_Alania,"Алания, Алания центр",2+1,80 м2,2020
119 000 €,https://profitrealestate.ru/catalog_single/Roskoshnaia_triohkomnatnaia_kvartira_ploshadiu_125m2_s_vidom_na_Sredizemnoe_more,"Алания, Махмутлар",2+1,125 м2,2017
96 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_21_s_priamym_vidom_na_more_na_pervoi_beregovoi_linii_Mahmutlar,"Алания, Махмутлар",2+1,74 м2,2018
49 500 €,https://profitrealestate.ru/catalog_single/Meblirovannaia_kvartira_s_vidom_na_more_v_novom_i_sovremennom_komplekse_8_etazh_58_m_kv,"Алания, Махмутлар",1+1,58 м2,2019
53 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_200_metrah_ot_pliazha_Keikubat_Alania,"Алания, Алания центр",1+1,55 м2,2019
49 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_uhozhennom_zhilom_komplekse_Mahmutlar_Alania_65m2,"Алания, Махмутлар",1+1,65 м2,2016
38 000 €,https://profitrealestate.ru/catalog_single/Nedorogie_kvartiry_v_stroiashemsia_dome_Avsallar_Alania_5577_m2,"Алания, Авсаллар","1+1, 2+1",55-77 м2,2020
297 000 €,https://profitrealestate.ru/catalog_single/Trehetazhnaia_villa_planirovki_31_s_sobstvennym_basseinom_i_velikolepnymi_panoramnymi_vidami_Alania_250_m2,"Алания, Алания центр",3+1,250 м2,2009
88 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_vsego_v_350_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",2+1,120 м2,2009
52 500 €,https://profitrealestate.ru/catalog_single/Kvartiry_v_rassrochku_po_cenam_zastroishika_vsego_v_350_metrah_ot_moria_Novyi_investicionnyi_proekt_v_Mahmutlare_Alania,"Алания, Махмутлар","1+1, 3+1",63-165 м2,2021
121 000 €,https://profitrealestate.ru/catalog_single/SHikarnaia_trehkomnatnaia_kvartira_v_komplekse_s_bogatoi_infrastrukturoi_v_150_metrah_ot_pliazha_Alani,"Алания, Алания центр",2+1,106 м2,2019
101 500 €,https://profitrealestate.ru/catalog_single/Elegantnye_apartamenty_s_otdelnoi_kuhnei_planirovki_31_v_200_metrah_ot_pliazha_Kleopatra_Alania,"Алания, Алания центр",3+1,115 м2,2000
327 000 €,https://profitrealestate.ru/catalog_single/Roskoshnyi_dupleks_planirovki_62_s_velikolepnymi_vidovymi_harakteristikami_v_Alane_550_m2,"Алания, Алания центр",6+2,550 м2,2007
66 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_elitnoi_rezidencii_raiona_Dzhikdzhilli_Alania_110_m2,"Алания, Джикджилли",2+1,110 м2,2014
60 500 €,https://profitrealestate.ru/catalog_single/Triohkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_350_metrah_ot_centra_Dzhikdzhilli_Alania,"Алания, Джикджилли",2+1,95 м2,2010
88 000 €,https://profitrealestate.ru/catalog_single/Elegantnye_trehkomnatnye_apartamenty_v_200_metrah_ot_centra_Dzhikdzhilli_Alania,"Алания, Джикджилли",2+1,110 м2,2012
345 000 €,https://profitrealestate.ru/catalog_single/Villa_v_raione_Konakly_250_m2_s_lichnym_basseinom,"Алания, Конаклы",4+1,250 м2,2010
49 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_chistovoi_otdelke_v_250_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",1+1,55 м2,2018
58 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_dvuhkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_150_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,65 м2,2017
297 000 €,https://profitrealestate.ru/catalog_single/Stilnyi_chetyrehkomnatnyi_dupleks_s_shikarnymi_vidovymi_harakteristikami_Kargydzhak_Alania_150_m2,"Алания, Каргыджак",3+1,150 м2,2015
330 000 €,https://profitrealestate.ru/catalog_single/Roskoshnyi_chetyrehkomnatnyi_dupleks_s_shikarnymi_vidovymi_harakteristikami_v_elitnoi_rezidencii_Mahmutlara_216_m2,"Алания, Махмутлар",3+1,216 м2,2015
74 000 €,https://profitrealestate.ru/catalog_single/Nedorogoi_chetyrehkomnatnyi_dupleks_v_200_metrah_ot_centra_Alani,"Алания, Алания центр",3+1,180 м2,2004
110 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_dvuhurovnevaia_kvartira_s_chetyrmia_spalniami_na_beregu_Sredizemnogo_moria_Mamutlar_Alania_220_m2,"Алания, Махмутлар",4+1,220 м2,2004
101 500 €,https://profitrealestate.ru/catalog_single/CHetyrehkomnatnyi_dupleks_v_uhozhennom_i_zelenom_komplekse_raiona_Oba_Alania_140_m2,"Алания, Оба",3+1,140 м2,2008
167 000 €,https://profitrealestate.ru/catalog_single/Roskoshnaia_trehkomnatnaia_kvartira_v_300_metrah_ot_pliazha_Mahmutlara_Alania_135_m2,"Алания, Махмутлар",2+1,135 м2,2015
55 000 €,https://profitrealestate.ru/catalog_single/Prostornye_dvuhkomnatnye_apartamenty_v_zhilom_komplekse_s_otlichnoi_infrastrukturoi_Mahmutlar_Alania_70_m2,"Алания, Махмутлар",1+1,70 м2,2015
65 000 €,https://profitrealestate.ru/catalog_single/Kvartiry_v_stroiashemsia_dome_v_100_metrah_ot_moria_Kestel_Alania,"Алания, Кестель","1+1, 2+1",50-173 м2,2021
95 000 €,https://profitrealestate.ru/catalog_single/Apartamenty_na_etape_stroitelstva_v_komplekse_s_otlichnoi_infrastrukturoi_v_50_metrah_ot_moria_Kestel_Alania,"Алания, Кестель","1+1, 2+1",46-160 м2,2021
71 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_gotovye_k_zaseleniiu_s_shikarnymi_vidami_na_more_Mahmutlar_Alania_50_m2,"Алания, Махмутлар",1+1,50 м2,2017
75 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_50_metrah_ot_moria_Kargydzhak_Alania,"Алания, Каргыджак","1+1, 2+1, 3+1, 4+1",52-150 м2,2021
88 000 €,https://profitrealestate.ru/catalog_single/Kvartiry_po_cenam_zastroishika_v_centre_Alani_89298_m2,"Алания, Алания центр","2+1, 3+1, 5+2",89-298 м2,2021
159 000 €,https://profitrealestate.ru/catalog_single/Elitnyi_zhiloi_kompleks_shikarnyh_vill_planirovki_31_s_sobstvennoi_territoriei_na_etape_stroitelstva_Kargydzhak_Alaniia,"Алания, Каргыджак",3+1,220 м2,2022
161 000 €,https://profitrealestate.ru/catalog_single/Prostornyi_chetyrehkomnatnyi_dupleks_s_velikolepnymi_panoramnymi_vidami_Alania_240_m2,"Алания, Алания центр",3+1,240 м2,2018
58 000 €,https://profitrealestate.ru/catalog_single/Investicionnyi_proekt_s_vozmozhnostiu_besprocentnoi_rassrochki_do_iiulia_2021_goda_v_Obe_Alaniia,"Алания, Оба","1+1, 2+1, 3+1, 5+1",66-311 м2,2021
110 000 €,https://profitrealestate.ru/catalog_single/Otlichnyi_trehkomnatnyi_dupleks_gotovyi_k_zaseleniiu_v_elitnom_komplekse_v_100_metrah_ot_centra_Alani,"Алания, Алания центр",2+1,85 м2,2014
120 000 €,https://profitrealestate.ru/catalog_single/Dvuhurovnevaia_kvartira_planirovki_21_vsego_v_100_metrah_ot_moria_Oba_Alania,"Алания, Оба",2+1,130 м2,2015
129 000 €,https://profitrealestate.ru/catalog_single/Otlichnye_trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_prestizhnom_zhilom_komplekse_raiona_Oba_Alania_120_m2,"Алания, Оба",2+1,120 м2,2015
106 000 €,https://profitrealestate.ru/catalog_single/Prostornye_trehkomnatnye_apartamenty_s_shikarnymi_vidami_na_gory_i_more_Mahmutlar_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2009
99 000 €,https://profitrealestate.ru/catalog_single/Nedorogaia_dvuhetazhnaia_villa_gotovaia_k_zaseleniiu_v_uiutnom_raione_Avsallar_Alania_140_m2,"Алания, Авсаллар",3+1,140 м2,2010
129 000 €,https://profitrealestate.ru/catalog_single/Dvuhurovnevye_apartamenty_v_Mahmutlare_s_lichnoi_saunoi_i_dzhakuzi_vid_na_more_Mahmutlar,"Алания, Махмутлар",2+1,130 м2,2015
278 000 €,https://profitrealestate.ru/catalog_single/SHikarnaia_kvartira_21_na_pervoi_beregovoi_linii_v_Mahmutlare_kompleks_premium_klassa_vid_na_more_i_goory_sobstvennyi_pliazh,"Алания, Махмутлар",2+1,135 м2,2019
55 000 €,https://profitrealestate.ru/catalog_single/Triohkomnatnaia_kvartira_na_pervoi_beregovoi_linii_v_raione_Kestel,"Алания, Кестель",2+1,90 м2,2012
61 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_po_cenam_zastroishika_v_70_metrah_ot_moria_Kargydzhak_Alania,"Алания, Каргыджак","1+1, 2+1, 3+1",50-170 м2,2021
77 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_otele_kategorii_5_zvezd_Kargydzhak_Alania,"Алания, Каргыджак",2+1,102 м2,2010
66 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_uiutnom_zhilom_komplekse_v_centre_Alani_110_m2,"Алания, Алания центр",2+1,110 м2,2005
48 500 €,https://profitrealestate.ru/catalog_single/Nedorogie_kvartiry_s_shikarnymi_vidovymi_harakteristikami_Mahmutlar_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2010
77 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_dvuhkomnatnaia_kvartira_v_uhozhennom_zhilom_komplekse_v_Tosmure_Alania_80_m2,"Алания, Тосмур",1+1,80 м2,2008
44 000 €,https://profitrealestate.ru/catalog_single/Uiutnaia_dvuhkomnatnaia_kvartira_v_raione_Mahmutlar,"Алания, Махмутлар",1+1,60 м2,2017
143 000 €,https://profitrealestate.ru/catalog_single/Prostornyi_chetyrehkomnatnyi_dupleks_gotovyi_k_zaseleniiu_v_novom_zhilom_komplekse_Mahmutlara_Alania_170_m2,"Алания, Махмутлар",3+1,170 м2,2018
68 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_150_metrah_ot_moria_Alania,"Алания, Алания центр",1+1,50 м2,2015
181 500 €,https://profitrealestate.ru/catalog_single/Prostornyi_dupleks_s_shikarnymi_vidovymi_harakteristikami_Kargydzhak_Alania_200_m2,"Алания, Каргыджак",4+1,200 м2,2016
135 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_Kestele_v_100_metrah_ot_moria_Uspei_kupit_kvartiru_po_cenam_zastroishika,"Алания, Кестель","1+1, 2+1, 3+1",65-180 м2,2021
65 000 €,https://profitrealestate.ru/catalog_single/Prostornye_dvuhkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_Mahmutlare_Alania_70_m2,"Алания, Махмутлар",1+1,70 м2,2015
66 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnyi_dupleks_v_300_metrah_ot_centra_Alani,"Алания, Алания центр",2+1,120 м2,2013
137 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_31_v_otele_kategorii_5_zvezd_Kargydzhak_Alania,"Алания, Каргыджак",3+1,140 м2,2010
63 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_polnostiu_ukomplektovannye_mebeliu_i_tehnikoi_v_zhilom_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_60m2,"Алания, Махмутлар",1+1,70 м2,2014
76 000 €,https://profitrealestate.ru/catalog_single/Apartamenty_planirovki_21_s_otlichnym_vidom_na_more_i_park_Mahmutlar_Alania,"Алания, Махмутлар",2+1,100 м2,2010
68 750 €,https://profitrealestate.ru/catalog_single/Investicionnaia_nedvizhimost_na_etape_stroitelstva_v_200_metrah_ot_moria_Kestel_Alania__52107_m2,"Алания, Кестель","1+1, 2+1",52-107 м2,2020
121 000 €,https://profitrealestate.ru/catalog_single/Prostornyi_chetyrehkomnatnyi_dupleks__v_250_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",3+1,200 м2,2019
76 000 €,https://profitrealestate.ru/catalog_single/Novye_dvuhurovnevye_apartamenty_s_dvumia_spalniami_centre_Mahmutlara_Alania_142_m2,"Алания, Махмутлар",2+1,142 м2,2019
93 000 €,https://profitrealestate.ru/catalog_single/Novaia_trehkomnatnaia_kvartira_v_50_metrah_ot_centra_Alani,"Алания, Алания центр",2+1,80 м2,2019
67 500 €,https://profitrealestate.ru/catalog_single/Prostornaia_trehkomnatnaia_kvartira_v_uhozhennom_zhilom_komplekse_Mahmutlara_Alania_120_m2,"Алания, Махмутлар",2+1,120 м2,2008
69 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_s_mebeliu_i_tehnikoi_v_evropeiskom_raione_Oba_Alania_110_m2,"Алания, Оба",2+1,110 м2,2005
171 000 €,https://profitrealestate.ru/catalog_single/Dvuhetazhnaia_villa_v_gorah_s_shikarnymi_vidami_na_more_Bektash_Alania_170_m2,"Алания, Алания центр",3+1,170 м2,2008
50 500 €,https://profitrealestate.ru/catalog_single/Apartamenty_po_cenam_zastroishika_v_stroiashemsia_zhilom_komplekse_Mahmutlara_Alania_53185_m2,"Алания, Махмутлар","1+1, 3+1",53-185 м2,2021
129 000 €,https://profitrealestate.ru/catalog_single/Prostornyi_chetyrehkomnatnyi_dupleks_v_uiutnom_raione_Dzhikdzhilli_Alania_249_m2,"Алания, Джикджилли",3+1,249 м2,2010
125 000 €,https://profitrealestate.ru/catalog_single/Villa_s_dvumia_spalniami_v_zhivopisnom_meste_s_shikarnymi_panoramnymi_vidami_Tepe_Alania_125_m2,"Алания, Алания центр",2+1,125 м2,2008
80 000 €,https://profitrealestate.ru/catalog_single/Kvartiry_na_etape_stroitelstva_v_novom_zhilom_komplekse_Kargydzhaka_Alania_51140_m2,"Алания, Каргыджак","1+1, 2+1, 3+1",51-140 м2,2023
369 000 €,https://profitrealestate.ru/catalog_single/Novyi_liuksovyi_proekt_v_Kargydzhake_Alania_v_2000_metrah_ot_moria_Elitnaia_nedvizhimost_v_rassrochku,"Алания, Каргыджак","3+1, 4+1, 5+1","268,7 - 377,6 м2",2023
75 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_uiutnom_zhilom_komplekse_Mahmutlara_Alania_110_m2,"Алания, Махмутлар",2+1,110 м2,2005
71 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_rezidencii_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_84_m2_1,"Алания, Махмутлар",1+1,84 м2,2020
71 500 €,https://profitrealestate.ru/catalog_single/Kvartiry_ot_zastroishika_po_nizkim_cenam_v_komplekse_v_raione_Mahmutlar_Alaniia,"Алания, Махмутлар","1+1, 2+1, 4+1",40-163 м2,2021
43 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_po_vygodnoi_cene_v_200_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",2+1,95 м2,2000
74 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_gotovye_k_zaseleniiu_v_150_metrah_ot_pliazha_Mahmutlara_Alania,"Алания, Махмутлар",2+1,120 м2,2010
42 500 €,https://profitrealestate.ru/catalog_single/Nedorogie_kvartiry_v_novom_stroiashemsia_komplekse_v_raione_Alanii_Avsallar,"Алания, Авсаллар",1+1,55 м2,2021
49 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_po_vygodnoi_cene_v_evropeiskom_raione_Oba_Novaia_mebel_stilnaia_otdelka,"Алания, Оба",1+1,60 м2,2012
44 500 €,https://profitrealestate.ru/catalog_single/Kvartira_planirovki_11_s_otdelnoi_kuhnei_na_pervoi_beregovoi_linii_Mahmutlar_vygodnaia_cena_sobstvennyi_pliazh,"Алания, Махмутлар",1+1,60 м2,2000
62 000 €,https://profitrealestate.ru/catalog_single/Investicionnaia_nedvizhimost_na_etape_stroitelstva_Mahmutlar_Alania_42150_m2,"Алания, Махмутлар","1+1, 2+1, 3+1",42-150 м2,2022
154 000 €,https://profitrealestate.ru/catalog_single/CHetyrehkomnatnyi_dupleks_s_nestandartnoi_planirovkoi_v_shikarnom_zhilom_komplekse_Mahmutlar_Alania_240_m2,"Алания, Махмутлар",3+1,240 м2,2018
131 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_zhilom_komplekse_s_bogatoi_infrastrukturoi_Kestel_Alania_105_m2,"Алания, Кестель",2+1,105 м2,2016
130 000 €,https://profitrealestate.ru/catalog_single/Kvartira_planirovki_21_gotovaia_k_zaseleniiu_vsego_v_100_metrah_ot_pliazha_Kestelia_Alania_115_m2,"Алания, Кестель",2+1,115 м2,2016
57 500 €,https://profitrealestate.ru/catalog_single/Elegantnye_apartamenty_planirovki_11_s_prekrasnymi_vidami_na_more_Kestel_Alania,"Алания, Кестель",1+1,60 м2,2016
62 000 €,https://profitrealestate.ru/catalog_single/Novyi_zhiloi_kompleks_s_infrastrukturoi_na_etape_stroitelstva_v_centre_Alanii_400_metrov_k_pliazhu_Kleopatra_vygodnye_ceny,"Алания, Алания центр","1+1, 5+1",48-251 м2,2020
62 500 €,https://profitrealestate.ru/catalog_single/Kvartiry_na_etape_stroitelstva_v_novom_zhilom_komplekse_Mahmutlara_Alania_45144_m2,"Алания, Махмутлар","1+1, 2+1, 3+1",45-144 м2,2021
100 000 €,https://profitrealestate.ru/catalog_single/SHikarnye_trehkomnatnye_apartamenty_na_vysokom_etazhe_120_kvm_Mahmutlar,"Алания, Махмутлар",2+1,120 м2,2019
79 500 €,https://profitrealestate.ru/catalog_single/Dvuhurovnevaia_kvartira_planirovki_32_po_vygodnoi_cene_Oba_Alania_170_m2,"Алания, Оба",3+2,170 м2,2012
116 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_dvuhkomnatnaia_kvartira_s_shikarnymi_vidovymi_harakteristikami_v_elitnom_zhilom_komplekse_Kargydzhaka_Alania_67_m2,"Алания, Каргыджак",1+1,67 м2,2015
79 000 €,https://profitrealestate.ru/catalog_single/Novyi_investicionnyi_proekt_v_100_metrah_ot_moria_Alaniia_Mahmutlar,"Алания, Махмутлар","2+1, 3+1",70-202 м2,2022
52 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_evropeiskom_raione_Oba_Alania_50_m2,"Алания, Оба",1+1,50 м2,2012
86 000 €,https://profitrealestate.ru/catalog_single/Prostornye_apartamenty_planirovki_21_riadom_s_morem_v_prestizhnom_raione_Oba_Alaniia,"Алания, Оба",2+1,110 м2,2010
240 000 €,https://profitrealestate.ru/catalog_single/SHikarnye_apartamenty_21_s_mebeliu_i_bytovoi_tehnikoi_na_pervoi_beregovoi_linii_v_Mahmutlare_kompleks_liuks_klassa,"Алания, Махмутлар",2+1,130 м2,2015
51 000 €,https://profitrealestate.ru/catalog_single/Kvartira_11_na_pervom_etazhe_v_komplekse_2016_goda_Mahmutlar_mebel_bytovaia_tehnika_kondicionery,"Алания, Махмутлар",1+1,60 м2,2016
101 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_ploshadiu_105_m2_s_polnym_paketom_mebeli_i_tehniki,"Алания, Махмутлар",2+1,105 м2,2015
53 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_s_otelnoi_infrastrukturoi_v_raione_Kargydzhak_Alaniia,"Алания, Каргыджак",1+1,67 м2,2010
101 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnye_apartamenty_v_komplekse_s_bogatoi_infrastrukturoi_Mahmutlar_Alania_105_m2,"Алания, Махмутлар",2+1,105 м2,2015
81 000 €,https://profitrealestate.ru/catalog_single/Otlichnaia_dvuhkomnatnaia_kvartira_v_novoi_rezidencii_s_bogatoi_infrastrukturoi_Oba_Alania_60_m2,"Алания, Оба",1+1,60 м2,2019
99 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_trehkomnatnaia_kvartira_v_uiutnom_raione_Dzhikdzhilli_Alania_135_m2,"Алания, Джикджилли",2+1,135 м2,2010
99 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_centre_Mahmutlara_Alania_115_m2_1,"Алания, Махмутлар",2+1,115 м2,2013
82 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_na_pervoi_beregovoi_linii_Mahmutlar_Alania_65_m2,"Алания, Махмутлар",1+1,65 м2,2018
75 000 €,https://profitrealestate.ru/catalog_single/Novyi_proekt_v_samom_centre_Alanii_kvartiry_ot_zastroishika,"Алания, Алания центр","1+1, 2+1",55-145 м2,2021
93 500 €,https://profitrealestate.ru/catalog_single/Meblirovannye_trehkomnatnye_apartamenty_v_centre_Alanii_s_vidom_na_krepost_90_kvm,"Алания, Алания центр",2+1,90 м2,2007
154 000 €,https://profitrealestate.ru/catalog_single/SHikarnye_dvuhkomnatnye_apartamenty_110_kv_m_v_elitnom_komplekse_s_vidom_na_more_raiona_Kargydzhak_Alaniia,"Алания, Каргыджак",2+1,110 м2,2017
62 000 €,https://profitrealestate.ru/catalog_single/Uiutnaia_trehkomnatnaia_kvartira_v_Dzhikdzhilli_Alania_110_m2,"Алания, Джикджилли",2+1,110 м2,2008
56 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_v_200_metrah_ot_centra_evropeiskogo_raiona_Oba_Alania_62_m2,"Алания, Оба",1+1,62 м2,2018
47 500 €,https://profitrealestate.ru/catalog_single/Tri_novye_kvartiry_planirovki_11_napriamuiu_ot_sobstvennika_v_raione_Mahmutlar,"Алания, Махмутлар",1+1,64 м2,2018
39 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_vsego_v_250_metrah_ot_moria_Mahmutlar_Alania,"Алания, Махмутлар",1+1,75 м2,2000
52 000 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnaia_kvartira_gotovaia_k_zaseleniiu_v_komplekse_s_horoshei_infrastrukturoi_Mahmutlar_Alania_68_m2,"Алания, Махмутлар",1+1,68 м2,2015
143 000 €,https://profitrealestate.ru/catalog_single/Dvuhetazhnaia_kvartira_31_s_bolshoi_ploshadiu_s_mebeliu_i_tehnikoi_v_horoshem_zhilom_komplekse_Mahmutlar,"Алания, Махмутлар",3+1,180 м2,2015
137 500 €,https://profitrealestate.ru/catalog_single/Stilnyi_trehkomnatnyi_dupleks_v_200_metrah_ot_prekrasnyh_pliazhei_Oba_Alania,"Алания, Оба",2+1,135 м2,2017
132 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_centre_Alani_s_shikarnymi_vidovymi_harakteristikami_115_m2,"Алания, Алания центр",2+1,115 м2,2007
165 000 €,https://profitrealestate.ru/catalog_single/Stilnaia_kvartira_v_komplekse_nedaleko_ot_moria_v_Alanii_raion_Kargydzhak,"Алания, Каргыджак",2+1,110 м2,2019
90 500 €,https://profitrealestate.ru/catalog_single/Prekrasnaia_trehkomnatnaia_kvartira_v_150_metrah_ot_pliazha_Mahmutlara,"Алания, Махмутлар",2+1,120 м2,2015
115 508 €,https://profitrealestate.ru/catalog_single/Kvartiry_na_etape_stroitelstva_v_novom_zhilom_komplekse_Kargydzhaka_Alania_71204_m2,"Алания, Каргыджак","1+1, 2+1, 3+1, 4+1",71-206 м2,2021
113 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_50_metrah_ot_pliazha_Kleopatra_Alania,"Алания, Алания центр",2+1,75 м2,2000
80 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_s_otdelnoi_kuhnei_v_Dzhikdzhilli_Alania_110_m2,"Алания, Джикджилли",2+1,110 м2,2013
63 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_uiutnom_zhilom_komplekse_v_Dzhikdzhilli_Alania_105_m2,"Алания, Джикджилли",2+1,105 м2,2006
291 500 €,https://profitrealestate.ru/catalog_single/Prostornaia_villa_31_na_prodazhu_v_Obe_s_basseinom_i_uchastkom_zemli_priiatnymi_vidovymi_harakteristikami,"Алания, Оба",3+1,220 м2,2008
101 500 €,https://profitrealestate.ru/catalog_single/Piatikomnatnyi_dupleks_v_Oba_Alania_220_m2,"Алания, Оба",4+1,220 м2,2008
75 000 €,https://profitrealestate.ru/catalog_single/Novaia_trehkomnatnaia_kvartira_u_moria_Mahmutlar_Alania_130_m2,"Алания, Махмутлар",2+1,130 м2,2020
93 000 €,https://profitrealestate.ru/catalog_single/Novyi_proekt_v_centre_Alanii_vsego_v_300_metrah_ot_pliazha_Kleopatra_kvartiry_planirovok_11_i_21,"Алания, Алания центр","1+1, 2+1",50-70 м2,2021
73 500 €,https://profitrealestate.ru/catalog_single/Uiutnaia_trehkomnatnaia_kvartira_v_200_metrah_ot_pliazha_Mahmutlara_Alania_95_m2,"Алания, Махмутлар",2+1,95 м2,2000
62 500 €,https://profitrealestate.ru/catalog_single/Dvuhkomnatnye_apartamenty_v_elitnom_komplekse_Avsallara_Alania_65_m2,"Алания, Авсаллар",1+1,65 м2,2017
111 000 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartiradupleks_v_komplekse_s_bogatoi_infrastrukturoi_Kestel_Alania_110_m2,"Алания, Кестель",2+1,110 м2,2015
143 000 €,https://profitrealestate.ru/catalog_single/Prostornaia_triohkomnatnaia_kvartira_ploshadiu_145_m2_s_mebeliu_i_bytovoi_tehnikoi_v_raione_Mahmutlar,"Алания, Махмутлар",2+1,145 м2,2004
80 500 €,https://profitrealestate.ru/catalog_single/Trehkomnatnaia_kvartira_v_komplekse_s_infrastrukturoi_otelia_v_Avsallare_Alania_85_m2,"Алания, Авсаллар",2+1,85 м2,2013
